Key,en,es,ar
Disable,Disable,Desactivar,إبطال
t login in your account.,t login in your account.,No inicie sesión en su cuenta.,تسجيل الدخول في حسابك.
Enable,Enable,Permitir,يُمكَِن
Google Authenticator,Google Authenticator,Autenticador de Google,أداة مصادقة جوجل
Download Google Authenticator App,Download Google Authenticator App,Descargue la aplicación Google Authenticator,تنزيل تطبيق Google Authenticator
btn--base mt-10 w-100,btn--base mt-10 w-100,btn--base mt-10 w-100,btn-قاعدة mt-10 w-100
Download App,Download App,Descargar aplicación,تحميل التطبيق
number,number,número,رقم
Payment Gateway,Payment Gateway,Pasarela de pago,بوابة الدفع
Summery,Summery,Veraniego,صيفي
Entered Amount,Entered Amount,Monto ingresado,المبلغ المدخل
Conversion Amount,Conversion Amount,Monto de conversión,مبلغ التحويل
Total Fees & Charges,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والمصاريف
Will Get,Will Get,Obtendrá,سوف تحصل
last,last,último,آخر
Total Payable Amount,Total Payable Amount,Monto total a pagar,إجمالي المبلغ المستحق
Latest Transactions,Latest Transactions,Últimas transacciones,أحدث المعاملات
View More,View More,Ver más,عرض المزيد
sumery,sumery,sumeria,سومري
My Wallet,My Wallet,Mi billetera,محفظتى
Transaction Overview,Transaction Overview,Descripción general de la transacción,نظرة عامة على الصفقة
atest Transactions,atest Transactions,transacciones más recientes,المعاملات التجريبية
transaction.html,transaction.html,transacción.html,المعاملات.html
user.register,user.register,usuario.registro,تسجيل المستخدم
Request Money,Request Money,Pedir dinero,طلب المال
Total Payable,Total Payable,Total a pagar,مجموع المستحق الدفع
Make Payment Vai,Make Payment Vai,Realizar el pago inmediatamente,إجراء الدفع فاي
My Recipients,My Recipients,Mis destinatarios,المستلمون الخاص بي
Money Exchange,Money Exchange,Cambio de dinero,حوالة نقدية
Transaction Log,Transaction Log,Registro de transacciones,سجل المعاملات
Add Money Log,Add Money Log,Agregar registro de dinero,إضافة سجل الأموال
Send Money Log,Send Money Log,Enviar registro de dinero,إرسال سجل الأموال
Withdraw Log,Withdraw Log,Retirar registro,سجل السحب
Request Money Log,Request Money Log,Solicitar registro de dinero,طلب سجل الأموال
Voucher Log,Voucher Log,Registro de vales,سجل القسيمة
My Voucher,My Voucher,Mi vale,قسيمتي
Summary,Summary,Resumen,ملخص
Exchange From,Exchange From,Intercambiar desde,الصرف من
Exchange To,Exchange To,Intercambiar a,تبادل ل
From Wallet,From Wallet,Desde billetera,من المحفظة
To Exchange,To Exchange,A cambio,للتبادل
Total Exchange Amount,Total Exchange Amount,Importe total del cambio,إجمالي مبلغ الصرف
Converted Amount,Converted Amount,Monto convertido,المبلغ المحول
Total Charge,Total Charge,Carga total,القيمة الاجمالية
Money Exchange Log,Money Exchange Log,Registro de cambio de moneda,سجل صرف العملات
Create,Create,Crear,يخلق
title text-center text--base,title text-center text--base,título texto-centro texto--base,نص العنوان-نص الوسط-القاعدة
Redeem,Redeem,Canjear,يسترد
Redeem Code,Redeem Code,Canjear código,استرداد الرمز
Confirm Redeem,Confirm Redeem,Confirmar canjear,تأكيد الاسترداد
Share Redeem Code,Share Redeem Code,Compartir canjear código,مشاركة رمز الاسترداد
Copy your redeem code,Copy your redeem code,Copia tu código de canje,انسخ رمز الاسترداد الخاص بك
Done,Done,Hecho,منتهي
UserName/Email,UserName/Email,Nombre de usuario/correo electrónico,اسم المستخدم/البريد الإلكتروني
Zip Code,Zip Code,Código postal,الرمز البريدي
Address,Address,DIRECCIÓN,عنوان
las la-arrow-left,las la-arrow-left,las la-flecha-izquierda,لاس لا السهم لليسار
Back to recipient page,Back to recipient page,Volver a la página del destinatario,العودة إلى صفحة المستلم
btn btn--base w-100,btn btn--base w-100,btn btn--base w-100,btn btn - قاعدة w-100
Add Now,Add Now,Añadir ahora,إضافة الآن
Add New Recipient,Add New Recipient,Agregar nuevo destinatario,إضافة مستلم جديد
Request Amount,Request Amount,Cantidad de la solicitud,مبلغ الطلب
Optional,Optional,Opcional,خياري
Your Payment Is Successfully Completed,Your Payment Is Successfully Completed,Su pago se completó exitosamente,تم إتمام عملية الدفع بنجاح
Go To Dashboard,Go To Dashboard,Ir al panel de control,الذهاب إلى لوحة القيادة
Receiver Email,Receiver Email,Correo electrónico del destinatario,البريد الإلكتروني المتلقي
Share Request Money,Share Request Money,Compartir Solicitar Dinero,مشاركة طلب المال
Copy your request link,Copy your request link,Copia el enlace de tu solicitud,انسخ رابط طلبك
"Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you","Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you","Google Authenticator agrega una capa adicional de seguridad a sus cuentas en línea al agregar un segundo paso de verificación cuando inicia sesión. Esto significa que, además de su contraseña, usted",يضيف Google Authenticator طبقة إضافية من الأمان إلى حساباتك عبر الإنترنت عن طريق إضافة خطوة ثانية للتحقق عند تسجيل الدخول. وهذا يعني أنه بالإضافة إلى كلمة المرور الخاصة بك، يمكنك
How to Setup,How to Setup,Como instalar,كيفيه التنصيب
Sender Amount,Sender Amount,Importe del remitente,مبلغ المرسل
text,text,texto,نص
form--control custom-select-search,form--control custom-select-search,formulario--control búsqueda-selección personalizada,النموذج--التحكم في تحديد البحث المخصص
Recipients Amount,Recipients Amount,Cantidad de destinatarios,مبلغ المستلمين
Sender Wallet,Sender Wallet,Cartera del remitente,محفظة المرسل
Receiver Wallet,Receiver Wallet,Cartera receptora,محفظة المتلقي
Sending Amount,Sending Amount,Monto de envío,إرسال المبلغ
Receiver Will Get,Receiver Will Get,El receptor obtendrá,سوف يحصل المتلقي
Send Money Successfully Completed,Send Money Successfully Completed,Envío de dinero completado con éxito,تم إرسال الأموال بنجاح
Sending Preview,Sending Preview,Vista previa de envío,إرسال المعاينة
Receiver Amount,Receiver Amount,Cantidad del receptor,مبلغ المتلقي
Sending Purpose,Sending Purpose,Propósito de envío,غرض الإرسال
Select Purpose,Select Purpose,Seleccionar propósito,حدد الغرض
Source Of Fund,Source Of Fund,Origen de fondos,مصدر التمويل
Select Source,Select Source,Seleccionar fuente,اختر مصدر
Support Tickets,Support Tickets,Boletos de soporte,تذاكر الدعم الفني
Add New Ticket,Add New Ticket,Agregar nuevo boleto,إضافة تذكرة جديدة
Add New,Add New,Agregar nuevo,اضف جديد
Payment Process,Payment Process,Proceso de pago,قدم الآن
Ship To,Ship To,Envie a,سافر على متن سفينة لِـ
btn--base mt-20 w-100,btn--base mt-20 w-100,btn--base mt-20 w-100,btn-قاعدة mt-20 w-100
Pay,Pay,Pagar,يدفع
Pay With,Pay With,Pagar con,ادفع عن طريق
"With a Rise Up account, you","With a Rise Up account, you","Con una cuenta Rise Up, usted",باستخدام حساب Rise Up، يمكنك
Account verification,Account verification,Verificación de la cuenta,تأكيد الحساب
Please check your email inbox to get verification code,Please check your email inbox to get verification code,Por favor revise la bandeja de entrada de su correo electrónico para obtener el código de verificación.,يرجى التحقق من صندوق البريد الإلكتروني الخاص بك للحصول على رمز التحقق
Your KYC information is submitted. Please wait for admin confirmation,Your KYC information is submitted. Please wait for admin confirmation,Se envía su información KYC. Espere la confirmación del administrador.,تم إرسال معلومات KYC الخاصة بك. الرجاء الانتظار لتأكيد المشرف
User KYC section is under maintenance,User KYC section is under maintenance,La sección KYC del usuario está en mantenimiento,قسم KYC للمستخدم قيد الصيانة
User KYC input fields fetch successfully!,User KYC input fields fetch successfully!,¡Los campos de entrada KYC del usuario se recuperaron correctamente!,تم جلب حقول إدخال KYC للمستخدم بنجاح!
instructions,instructions,instrucciones,تعليمات
Status,Status,Estado,حالة
You are already KYC Verified User,You are already KYC Verified User,Ya eres usuario verificado de KYC,أنت بالفعل مستخدم تم التحقق منه (KYC).
Something went wrong! Please try again,Something went wrong! Please try again,¡Algo salió mal! Inténtalo de nuevo,هناك خطأ ما! حاول مرة اخرى
KYC information successfully submitted,KYC information successfully submitted,La información KYC se envió correctamente,تم إرسال معلومات KYC بنجاح
Request response fetch successfully!,Request response fetch successfully!,¡La solicitud de respuesta se obtuvo correctamente!,تم جلب الاستجابة للطلب بنجاح!
Google 2FA Updated Successfully!,Google 2FA Updated Successfully!,¡Google 2FA se actualizó con éxito!,تم تحديث Google 2FA بنجاح!
Your secret key not stored properly. Please contact with system administrator,Your secret key not stored properly. Please contact with system administrator,Su clave secreta no se almacenó correctamente. Por favor contacte con el administrador del sistema,لم يتم تخزين مفتاحك السري بشكل صحيح. يرجى الاتصال بمسؤول النظام
Google 2FA successfully verified!,Google 2FA successfully verified!,¡Google 2FA verificado con éxito!,تم التحقق من المصادقة الثنائية على Google بنجاح!
Invalid authentication code,Invalid authentication code,Código de autenticación no válido,رمز المصادقة غير صالح
Failed to login. Please try again,Failed to login. Please try again,Error al iniciar sesión. Inténtalo de nuevo,فشل في تسجيل الدخول. حاول مرة اخرى
Enter Subject,Enter Subject,Ingresar Asunto,أدخل الموضوع
User doesn\,User doesn\,El usuario no\,المستخدم لا\
Your account is temporary banded. Please contact with system admin,Your account is temporary banded. Please contact with system admin,Su cuenta está bloqueada temporalmente. Por favor contacte con el administrador del sistema,حسابك مؤقت. يرجى الاتصال بمسؤول النظام
Verification code sended to your email address,Verification code sended to your email address,Código de verificación enviado a su dirección de correo electrónico,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني
token,token,simbólico,رمز مميز
Session expired. Please try again,Session expired. Please try again,Sesión expirada. Inténtalo de nuevo,انتهت الجلسة. حاول مرة اخرى
Verification Otp is Invalid,Verification Otp is Invalid,La verificación OTP no es válida,التحقق من Otp غير صالح
OTP successfully verified!,OTP successfully verified!,¡OTP verificada con éxito!,تم التحقق من كلمة مرور OTP بنجاح!
Request token is invalid,Request token is invalid,El token de solicitud no es válido,رمز الطلب غير صالح
OTP resend success,OTP resend success,Reenvío OTP exitoso,تم إعادة إرسال OTP بنجاح
Password reset success,Password reset success,Restablecimiento de contraseña exitoso,نجاح إعادة تعيين كلمة المرور
Credentials didn\,Credentials didn\,Las credenciales no,لم يتم الحصول على بيانات الاعتماد\
Login Failed! Failed to refresh wallet! Please try again,Login Failed! Failed to refresh wallet! Please try again,¡Error de inicio de sesion! ¡No se pudo actualizar la billetera! Inténtalo de nuevo,فشل تسجيل الدخول! فشل تحديث المحفظة! حاول مرة اخرى
User successfully logged in,User successfully logged in,El usuario inició sesión exitosamente,تم تسجيل دخول المستخدم بنجاح
Username,Username,Nombre de usuario,اسم المستخدم
User already exists!,User already exists!,¡El usuario ya existe!,المستخدم موجود اصلا!
Registration failed! Please try again,Registration failed! Please try again,¡Registro fallido! Inténtalo de nuevo,فشل في التسجيل! حاول مرة اخرى
Failed to fetch user information. Please try again,Failed to fetch user information. Please try again,No se pudo recuperar la información del usuario. Inténtalo de nuevo,فشل في جلب معلومات المستخدم. حاول مرة اخرى
Failed to generate user token! Please try again,Failed to generate user token! Please try again,¡No se pudo generar el token de usuario! Inténtalo de nuevo,فشل في إنشاء رمز مميز للمستخدم! حاول مرة اخرى
Registration Failed! Something went wrong! Please try again,Registration Failed! Something went wrong! Please try again,¡Registro fallido! ¡Algo salió mal! Inténtalo de nuevo,فشل في التسجيل! هناك خطأ ما! حاول مرة اخرى
User successfully registered,User successfully registered,Usuario registrado exitosamente,تم تسجيل المستخدم بنجاح
Failed to fetch data. Please try again,Failed to fetch data. Please try again,No se pudieron recuperar los datos. Inténtalo de nuevo,فشل في جلب البيانات. حاول مرة اخرى
Payment gateway fetch successfully!,Payment gateway fetch successfully!,¡La pasarela de pago se obtuvo correctamente!,تم جلب بوابة الدفع بنجاح!
Payment gateway response successful,Payment gateway response successful,Respuesta exitosa de la pasarela de pago,استجابة بوابة الدفع ناجحة
Transaction request sended successfully!,Transaction request sended successfully!,¡Solicitud de transacción enviada exitosamente!,تم إرسال طلب المعاملة بنجاح!
Transaction failed. Record didn\,Transaction failed. Record didn\,Transacción fallida. El registro no\,فشل الاجراء. لم يتم التسجيل\
Successfully added money,Successfully added money,Dinero agregado exitosamente,تمت إضافة الأموال بنجاح
Payment process cancel successfully!,Payment process cancel successfully!,¡El proceso de pago se cancela exitosamente!,تم إلغاء عملية الدفع بنجاح!
Payment gateway input fields fetch successfully!,Payment gateway input fields fetch successfully!,¡Los campos de entrada de la pasarela de pago se recuperaron correctamente!,تم جلب حقول إدخال بوابة الدفع بنجاح!
Transaction Failed. Failed to save information. Please try again,Transaction Failed. Failed to save information. Please try again,Transacción fallida. No se pudo guardar la información. Inténtalo de nuevo,فشل الاجراء. فشل في حفظ المعلومات. حاول مرة اخرى
Your wallet is invalid!,Your wallet is invalid!,¡Tu billetera no es válida!,محفظتك غير صالحة!
Transaction Success. Please wait for admin confirmation,Transaction Success. Please wait for admin confirmation,Éxito de la transacción. Espere la confirmación del administrador.,نجاح الصفقة. الرجاء الانتظار لتأكيد المشرف
Payment Confirmation Success!,Payment Confirmation Success!,¡Confirmación de pago exitosa!,نجاح تأكيد الدفع!
User dashboard data fetch successfully!,User dashboard data fetch successfully!,¡Los datos del panel de usuario se recuperaron correctamente!,تم جلب بيانات لوحة تحكم المستخدم بنجاح!
User Notification data fetch successfully!,User Notification data fetch successfully!,¡Los datos de notificación del usuario se recuperaron correctamente!,تم جلب بيانات إشعار المستخدم بنجاح!
Money Exchange Information,Money Exchange Information,Información de cambio de moneda,معلومات صرف العملات
Exchange money isn\,Exchange money isn\,Cambiar dinero no es\,صرف الأموال ليس\
"Money exchange successful, Please Go Back Your App","Money exchange successful, Please Go Back Your App","Cambio de dinero exitoso, regrese a su aplicación",تم تحويل الأموال بنجاح، يرجى الرجوع إلى تطبيقك
Voucher Money info fetch successfully!,Voucher Money info fetch successfully!,¡La información del dinero del cupón se obtuvo correctamente!,تم جلب معلومات أموال القسيمة بنجاح!
Voucher Created successfully!,Voucher Created successfully!,¡Vale creado exitosamente!,تم إنشاء القسيمة بنجاح!
Voucher Redeemed successfully!.Please go back to your app,Voucher Redeemed successfully!.Please go back to your app,¡El cupón se canjeó exitosamente! Vuelve a tu aplicación.,تم استرداد القسيمة بنجاح. يرجى العودة إلى التطبيق الخاص بك
Voucher not found,Voucher not found,Vale no encontrado,لم يتم العثور على قسيمة
Voucher Canceled Successfully,Voucher Canceled Successfully,Cupón cancelado exitosamente,تم إلغاء القسيمة بنجاح
Profile info fetch successfully!,Profile info fetch successfully!,¡La información del perfil se obtuvo correctamente!,تم جلب معلومات الملف الشخصي بنجاح!
Phone number already exists,Phone number already exists,El número de teléfono ya existe,رقم الهاتف موجود بالفعل
Profile successfully updated!,Profile successfully updated!,¡Perfil actualizado exitosamente!,تم تحديث الملف الشخصي بنجاح!
Current password didn\,Current password didn\,La contraseña actual no\,كلمة المرور الحالية لم\
Password successfully updated!,Password successfully updated!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة المرور بنجاح!
Logout success!,Logout success!,¡Cerrar sesión exitosamente!,نجاح تسجيل الخروج!
No user found,No user found,Usuario no encontrado,لم يتم العثور على المستخدم
User deleted successfull,User deleted successfull,Usuario eliminado exitosamente,تم حذف المستخدم بنجاح
Receipients info fetch successfully!,Receipients info fetch successfully!,¡La información de los destinatarios se obtuvo correctamente!,تم جلب معلومات المستلمين بنجاح!
User info fetch successfully!,User info fetch successfully!,¡La información del usuario se obtuvo correctamente!,تم جلب معلومات المستخدم بنجاح!
New Receipient Added Successful.,New Receipient Added Successful.,Nuevo destinatario agregado exitosamente.,تمت إضافة مستلم جديد بنجاح.
Receipient Updated Successful.,Receipient Updated Successful.,Destinatario actualizado correctamente.,تم تحديث المستلم بنجاح.
Receipient deleted successfully!,Receipient deleted successfully!,¡El destinatario se eliminó correctamente!,تم حذف المستلم بنجاح!
Request Money info fetch successfully!,Request Money info fetch successfully!,¡Solicite información de dinero obtenida con éxito!,طلب جلب معلومات الأموال بنجاح!
Request Money Submitted successfully!,Request Money Submitted successfully!,¡Solicitud de dinero enviada exitosamente!,تم إرسال طلب الأموال بنجاح!
Send Money info fetch successfully!,Send Money info fetch successfully!,¡La información de envío de dinero se obtuvo correctamente!,تم جلب معلومات إرسال الأموال بنجاح!
payable,payable,pagadero,مستحق الدفع
error,error,error,خطأ
Your wallet balance is insufficient,Your wallet balance is insufficient,El saldo de tu billetera es insuficiente,رصيد محفظتك غير كافي
Send Money Submitted successfully!,Send Money Submitted successfully!,Enviar dinero ¡Enviado exitosamente!,إرسال الأموال تم الإرسال بنجاح!
Receiver doesn\,Receiver doesn\,El receptor no\,المتلقي لا\
Receiver wallet not available,Receiver wallet not available,Cartera receptora no disponible,محفظة المتلقي غير متوفرة
Send Money Success.Please go back to your app,Send Money Success.Please go back to your app,Envíe dinero correctamente. Vuelva a su aplicación,تم إرسال الأموال بنجاح. يرجى العودة إلى التطبيق الخاص بك
Splash screen data fetch successfully!,Splash screen data fetch successfully!,¡Los datos de la pantalla de bienvenida se recuperaron correctamente!,تم جلب بيانات شاشة البداية بنجاح!
Onboard screen data fetch successfully!,Onboard screen data fetch successfully!,¡Los datos de la pantalla integrada se recuperaron correctamente!,تم جلب بيانات الشاشة الموجودة على اللوحة بنجاح!
Transactions fetch successfully!,Transactions fetch successfully!,¡Las transacciones se recuperan correctamente!,جلب المعاملات بنجاح!
transactions,transactions,actas,المعاملات
Money Out Information!,Money Out Information!,¡Información sobre retiro de dinero!,معلومات صرف الأموال!
Invalid Gateway!,Invalid Gateway!,¡Puerta de enlace no válida!,بوابة غير صالحة!
Currency Not Setup Yet!,Currency Not Setup Yet!,¡La moneda aún no está configurada!,العملة لم يتم إعدادها بعد!
Please follow the transaction limit,Please follow the transaction limit,Siga el límite de transacciones,يرجى اتباع حد المعاملة
Insufficient Balance!,Insufficient Balance!,¡Saldo insuficiente!,رصيد غير كافي!
Money out Inserted Successfully,Money out Inserted Successfully,Salida de dinero insertada exitosamente,تم إدخال الأموال الخارجة بنجاح
Something is wrong,Something is wrong,Algo está mal,هناك شئ غير صحيح
"Sorry, your payment information is invalid","Sorry, your payment information is invalid","Lo sentimos, tu información de pago no es válida.",عذرًا، معلومات الدفع الخاصة بك غير صالحة
"Invalid request, it is not manual gateway request","Invalid request, it is not manual gateway request","Solicitud no válida, no es una solicitud de puerta de enlace manual",طلب غير صالح، فهو ليس طلب بوابة يدوياً
Failed to save data. Please try again,Failed to save data. Please try again,No se pudieron guardar los datos. Inténtalo de nuevo,فشل في حفظ البيانات. حاول مرة اخرى
user.add.money.manual.form,user.add.money.manual.form,usuario.añadir.dinero.formulario.manual,user.add.money.manual.form
Transaction hash is required for verify,Transaction hash is required for verify,Se requiere hash de transacción para verificar,تجزئة المعاملة مطلوبة للتحقق
Transaction hash is not valid! Please input a valid hash,Transaction hash is not valid! Please input a valid hash,¡El hash de transacción no es válido! Por favor ingresa un hash válido,تجزئة المعاملة غير صالحة! الرجاء إدخال تجزئة صالحة
Insufficient amount added. Please contact with system administrator,Insufficient amount added. Please contact with system administrator,Cantidad insuficiente agregada. Por favor contacte con el administrador del sistema,تمت إضافة كمية غير كافية. يرجى الاتصال بمسؤول النظام
user.login,user.login,inicio de sesión de usuario,تسجيل الدخول
user.dashboard,user.dashboard,usuario.tablero,user.dashboard
Account successfully verified,Account successfully verified,Cuenta verificada exitosamente,تم التحقق من الحساب بنجاح
Something went worng. please try again,Something went worng. please try again,Algo salió mal. Inténtalo de nuevo,لقد ذهب شيء ما. حاول مرة اخرى
user.authorize.mail,user.authorize.mail,usuario.autorizar.correo,user.authorize.mail
Varification code resend success!,Varification code resend success!,¡El código de variación se reenvía con éxito!,تمت إعادة إرسال رمز التغيير بنجاح!
warning,warning,advertencia,تحذير
Faild to login. Please try again,Faild to login. Please try again,No se pudo iniciar sesión. Inténtalo de nuevo,فشل في تسجيل الدخول. حاول مرة اخرى
Your profile deleted successfully!,Your profile deleted successfully!,¡Tu perfil se eliminó exitosamente!,تم حذف ملفك الشخصي بنجاح!
Money exchange successful,Money exchange successful,Cambio de dinero exitoso,صرف العملات ناجح
Insuficiant Balance,Insuficiant Balance,Saldo insuficiente,عدم كفاية التوازن
Voucher Code Generated Successfully,Voucher Code Generated Successfully,Código de cupón generado exitosamente,تم إنشاء رمز القسيمة بنجاح
Redeem Code Successfully Applied,Redeem Code Successfully Applied,Canjear código aplicado correctamente,تم تطبيق رمز الاسترداد بنجاح
Something went worng! Please try again,Something went worng! Please try again,¡Algo salió mal! Inténtalo de nuevo,لقد ذهب شيء ما! حاول مرة اخرى
This recipient  already exist.,This recipient  already exist.,Este destinatario ya existe.,هذا المستلم موجود بالفعل.
user.receipient.index,user.receipient.index,usuario.destinatario.índice,user.receipient.index
Security Setting Updated Successfully!,Security Setting Updated Successfully!,¡Configuración de seguridad actualizada exitosamente!,تم تحديث إعداد الأمان بنجاح!
Send Money Success,Send Money Success,Enviar dinero con éxito,إرسال الأموال النجاح
Profile Information Updated Successfully!,Profile Information Updated Successfully!,¡Información de perfil actualizada con éxito!,تم تحديث معلومات الملف الشخصي بنجاح!
Password Changed successfully login again!,Password Changed successfully login again!,Contraseña cambiada exitosamente ¡Inicie sesión nuevamente!,تم تغيير كلمة المرور بنجاح قم بتسجيل الدخول مرة أخرى!
Home,Home,Hogar,بيت
Contact,Contact,Contacto,اتصال
Web Journal,Web Journal,Diario Web,مجلة الويب
Services,Services,Servicios,خدمات
About Us,About Us,Sobre nosotros,معلومات عنا
Developer,Developer,Desarrollador,مطور
Dashboard,Dashboard,Panel,لوحة القيادة
Language,Language,Idioma,لغة
Information,Information,Información,معلومة
Language Information,Language Information,Información de idioma,معلومات اللغة
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة
Language created successfully!,Language created successfully!,¡Idioma creado exitosamente!,تم إنشاء اللغة بنجاح!
Basic settings fetch successfully!,Basic settings fetch successfully!,¡La configuración básica se obtuvo correctamente!,تم جلب الإعدادات الأساسية بنجاح!
Access denied! Unauthenticated,Access denied! Unauthenticated,¡Acceso denegado! No autenticado,تم الرفض! غير مصادق عليه
Verification code sended successfully to your mail. Please check your mail inbox/spam to verify,Verification code sended successfully to your mail. Please check your mail inbox/spam to verify,Código de verificación enviado exitosamente a tu correo. Por favor revise su bandeja de entrada/spam para verificar,تم إرسال رمز التحقق بنجاح إلى بريدك. يرجى التحقق من صندوق البريد الوارد/البريد العشوائي للتحقق
Successfully resend verification code!,Successfully resend verification code!,¡Reenviar exitosamente el código de verificación!,تم إعادة إرسال رمز التحقق بنجاح!
Invalid OTP. Please try again,Invalid OTP. Please try again,OTP no válida. Inténtalo de nuevo,كلمة المرور لمرة واحدة غير صالحة. حاول مرة اخرى
Your account secure with google 2FA,Your account secure with google 2FA,Su cuenta segura con Google 2FA,حسابك آمن مع جوجل 2FA
To enable two factor authentication (powered by google) please visit your web dashboard Click here:,To enable two factor authentication (powered by google) please visit your web dashboard Click here:,"Para habilitar la autenticación de dos factores (con tecnología de Google), visite su panel web. Haga clic aquí:",لتمكين المصادقة الثنائية (المدعومة من Google)، يرجى زيارة لوحة تحكم الويب الخاصة بك انقر هنا:
User doesn't exists,User doesn't exists,El usuario no existe,المستخدم غير موجود
Code sended to your email address!,Code sended to your email address!,¡Código enviado a tu dirección de correo electrónico!,تم إرسال الرمز إلى عنوان بريدك الإلكتروني!
Credentials didn't match,Credentials didn't match,Las credenciales no coincidieron,بيانات الاعتماد غير متطابقة
logged in,logged in,conectado,تم تسجيل الدخول
Failed to create wallet! Please try again,Failed to create wallet! Please try again,¡No se pudo crear la billetera! Inténtalo de nuevo,فشل في إنشاء المحفظة! حاول مرة اخرى
Can't submit manual gateway in automatic link,Can't submit manual gateway in automatic link,No se puede enviar la puerta de enlace manual en el enlace automático,لا يمكن إرسال البوابة اليدوية في الرابط التلقائي
Record didn't saved properly. Please try again,Record didn't saved properly. Please try again,El registro no se guardó correctamente. Inténtalo de nuevo,لم يتم حفظ السجل بشكل صحيح. حاول مرة اخرى
Can't get fields. Requested gateway is automatic,Can't get fields. Requested gateway is automatic,No puedo obtener campos. La puerta de enlace solicitada es automática.,لا يمكن الحصول على الحقول. البوابة المطلوبة تلقائية
This payment gateway is under constructions. Please try with another payment gateway,This payment gateway is under constructions. Please try with another payment gateway,Esta pasarela de pago está en construcción. Por favor intenta con otra pasarela de pago,بوابة الدفع هذه قيد الإنشاء. يرجى المحاولة باستخدام بوابة دفع أخرى
Can't submit automatic gateway in manual link,Can't submit automatic gateway in manual link,No se puede enviar la puerta de enlace automática en el enlace manual,لا يمكن إرسال البوابة التلقائية في الرابط اليدوي
Selected gateway is invalid,Selected gateway is invalid,La puerta de enlace seleccionada no es válida,البوابة المحددة غير صالحة
Failed to save information. Please try again,Failed to save information. Please try again,No se pudo guardar la información. Inténtalo de nuevo,فشل في حفظ المعلومات. حاول مرة اخرى
Investment plan list fetch successfully!,Investment plan list fetch successfully!,¡La lista de planes de inversión se obtuvo con éxito!,تم جلب قائمة خطة الاستثمار بنجاح!
Oops! This plan is no longer available,Oops! This plan is no longer available,¡Ups! Este plan ya no está disponible,أُووبس! هذه الخطة لم تعد متوفرة
Oops! Wallet not found!,Oops! Wallet not found!,¡Ups! ¡Cartera no encontrada!,أُووبس! لم يتم العثور على المحفظة!
Oops! Something went wrong! Please try again,Oops! Something went wrong! Please try again,¡Ups! ¡Algo salió mal! Inténtalo de nuevo,أُووبس! هناك خطأ ما! حاول مرة اخرى
New Investment Plan Purchase Successfully!,New Investment Plan Purchase Successfully!,¡Compra del nuevo plan de inversión con éxito!,تم شراء خطة الاستثمار الجديدة بنجاح!
Investment data fetch successfully!,Investment data fetch successfully!,¡Los datos de inversión se obtuvieron con éxito!,تم جلب بيانات الاستثمار بنجاح!
Investment profit data fetch successfully!,Investment profit data fetch successfully!,¡Los datos de ganancias de inversión se obtuvieron con éxito!,تم جلب بيانات أرباح الاستثمار بنجاح!
User wallets fetch successfully!,User wallets fetch successfully!,¡Las carteras de los usuarios se recuperan correctamente!,تم جلب محافظ المستخدم بنجاح!
Receiver doesn't exists or Receiver is temporary banned,Receiver doesn't exists or Receiver is temporary banned,El receptor no existe o el receptor está prohibido temporalmente,جهاز الاستقبال غير موجود أو جهاز الاستقبال محظور مؤقتًا
Transaction failed! Something went wrong! Please try again,Transaction failed! Something went wrong! Please try again,¡Transacción fallida! ¡Algo salió mal! Inténtalo de nuevo,فشل الاجراء! هناك خطأ ما! حاول مرة اخرى
Current password didn't match,Current password didn't match,La contraseña actual no coincide,كلمة المرور الحالية غير متطابقة
Request data fetch successfully!,Request data fetch successfully!,¡Solicite la recuperación de datos exitosamente!,طلب جلب البيانات بنجاح!
Payment gateway not found!,Payment gateway not found!,¡Pasarela de pago no encontrada!,بوابة الدفع غير موجودة!
gateway is under maintenance. Please try with another gateway,gateway is under maintenance. Please try with another gateway,La puerta de enlace está en mantenimiento. Por favor intenta con otra puerta de enlace,البوابة تحت الصيانة. يرجى المحاولة مع بوابة أخرى
gateway input field fetch successfully!,gateway input field fetch successfully!,¡El campo de entrada de la puerta de enlace se obtuvo correctamente!,تم جلب حقل إدخال البوابة بنجاح!
Service not available!,Service not available!,¡Servicio no disponible!,الخدمة غير متوفرة!
Gateway isn't available for this transaction,Gateway isn't available for this transaction,La puerta de enlace no está disponible para esta transacción,البوابة غير متاحة لهذه المعاملة
Oops! Wallet type not defined,Oops! Wallet type not defined,¡Ups! Tipo de billetera no definido,أُووبس! نوع المحفظة غير محدد
Language data fetch successfully!,Language data fetch successfully!,¡Los datos de idioma se obtuvieron correctamente!,تم جلب بيانات اللغة بنجاح!
Hello Brother,Hello Brother,Hola hermano,مرحبا اخي
Enter Email,Enter Email,Ingrese correo electrónico,أدخل البريد الإلكتروني
enter Email Address,enter Email Address,introducir la dirección de correo electrónico,أدخل عنوان البريد الالكتروني
